"Magenx","Magenx"
"Sitemap URLs","Sitemap URLs"
"General","General"
"Categories","Categories"
"Products","Products"
"CMS Pages","CMS Pages"
"Rewrite Sitemap URLs","Rewrite Sitemap URLs"
"Store Path Prefix","Store Path Prefix"
"Strip URL Suffix","Strip URL Suffix"
"Category Path Prefix","Category Path Prefix"
"Product Path Prefix","Product Path Prefix"
"Use Product URL Key Only","Use Product URL Key Only"
"CMS Page Path Prefix","CMS Page Path Prefix"
"Sitemap URLs Configuration","Sitemap URLs Configuration"
